time,title,titleUrl,channel,titleID,duration
2020-07-09 12:31:31.368000+00:00,Kevin's Famous Chilli  - The Office US,https://www.youtube.com/watch?v=WcYG-5b7448,The Office,WcYG-5b7448,58
2020-07-09 12:27:00.126000+00:00,"""The Office"" Trivia with Angela Kinsey and Brian Baumgartner",https://www.youtube.com/watch?v=qro5LgVzt8g,SheKnows,qro5LgVzt8g,204
2020-07-09 12:25:11.430000+00:00,FESTIVALERO XII - Bilbao BBK Live (FESTIVALES ONLINE),https://www.youtube.com/watch?v=0c1Rbn7S67k,Pantomima Full,0c1Rbn7S67k,67
2020-07-08 23:26:10.535000+00:00,Homeless man talks openly about being addicted to heroin. We have an opioid crisis in America.,https://www.youtube.com/watch?v=H6ZFzEW7_Q4,Invisible People,H6ZFzEW7_Q4,375
2020-07-08 23:20:28.606000+00:00,Steve Carell & Kristen Wiig Answer the Web's Most Searched Questions | WIRED,https://www.youtube.com/watch?v=d7ZsGkmwVL0,WIRED,d7ZsGkmwVL0,314
2020-07-08 23:19:42.660000+00:00,UPDATE: Zach Died From an Overdose. Homeless Youth Sleeping Rough in Ottawa.,https://www.youtube.com/watch?v=OaP6ysTyz6Y,Invisible People,OaP6ysTyz6Y,146
2020-07-08 23:12:33.915000+00:00,Homeless Youth Sleeping Rough in London after Mother Died,https://www.youtube.com/watch?v=24To8SF46jU,Invisible People,24To8SF46jU,305
2020-07-08 23:08:42.473000+00:00,Today is Sergei's 18th birthday. It is also his first day homeless!,https://www.youtube.com/watch?v=276RZVt-SDk,Invisible People,276RZVt-SDk,88
2020-07-08 23:01:17.808000+00:00,EJ is 18. He told me he has been homeless for 11 years.,https://www.youtube.com/watch?v=3N2z5O2xYKw,Invisible People,3N2z5O2xYKw,277
2020-07-08 23:00:31.867000+00:00,Cate Blanchett and her vocabulary,https://www.youtube.com/watch?v=3BgHiWQHsoU,A G,3BgHiWQHsoU,137
2020-07-08 07:41:45.780000+00:00,"Machine Learning for Healthcare, part 1 - Mihaela van der Schaar - MLSS 2020, Tübingen",https://www.youtube.com/watch?v=7gvBKP61Jus,virtual mlss2020,7gvBKP61Jus,5286
2020-07-07 20:50:34.999000+00:00,Eazi - For U (ft.Li Baby),https://www.youtube.com/watch?v=sLpmXQkUClw,Blacky Baddest Niggaz,sLpmXQkUClw,186
